Time [sec], Input Angle [rad], Input Speed [rpm], Input Voltage [V], Output Torque [Nm], Brake Torque [Nm], Efficiency [%], 
0.935401, 0, 0, 0.935401, 0.110475, 1, 0, 
0.945374, 0, 0, 0.945374, 0.114137, 1, 0, 
0.955346, 0, 0, 0.955346, 0.110475, 1, 0, 
0.965318, 0, 0, 0.965318, 0.114137, 1, 0, 
0.97529, 0, 0, 0.97529, 0.116579, 1, 0, 
0.985262, 0, 0, 0.985262, 0.110475, 1, 0, 
0.995235, 0, 0, 0.995235, 0.112917, 1, 0, 
1.00521, 0, 0, 1.00521, 0.114137, 1, 0, 
1.01518, 0, 0, 1.01518, 0.111696, 1, 0, 
1.02515, 0, 0, 1.02515, 0.116579, 1, 0, 
1.03512, 0, 0, 1.03512, 0.115358, 1, 0, 
1.0451, 0, 0, 1.0451, 0.116579, 1, 0, 
1.05507, 0, 0, 1.05507, 0.112917, 1, 0, 
1.06504, 0, 0, 1.06504, 0.112917, 1, 0, 
1.07501, 0, 0, 1.07501, 0.116579, 1, 0, 
1.08499, 0, 0, 1.08499, 0.116579, 1, 0, 
1.09496, 0, 0, 1.09496, 0.114137, 1, 0, 
1.10493, 0, 0, 1.10493, 0.1178, 1, 0, 
1.11491, 0, 0, 1.11491, 0.1178, 1, 0, 
1.12487, 0, 0, 1.12487, 0.11902, 1, 0, 
1.13485, 0, 0, 1.13485, 0.114137, 1, 0, 
1.14482, 0, 0, 1.14482, 0.123903, 1, 0, 
1.15479, 0, 0, 1.15479, 0.11902, 1, 0, 
1.16476, 0, 0, 1.16476, 0.1178, 1, 0, 
1.17474, 0, 0, 1.17474, 0.116579, 1, 0, 
1.18471, 0, 0, 1.18471, 0.116579, 1, 0, 
1.19468, 0, 0, 1.19468, 0.116579, 1, 0, 
1.20465, 0, 0, 1.20465, 0.121462, 1, 0, 
1.21462, 0, 0, 1.21462, 0.120241, 1, 0, 
1.2246, 0, 0, 1.2246, 0.115358, 1, 0, 
1.23457, 0, 0, 1.23457, 0.120241, 1, 0, 
1.24454, 0, 0, 1.24454, 0.122683, 1, 0, 
1.25451, 0, 0, 1.25451, 0.121462, 1, 0, 
1.26449, 0, 0, 1.26449, 0.11902, 1, 0, 
1.27446, 0, 0, 1.27446, 0.121462, 1, 0, 
1.28443, 0, 0, 1.28443, 0.11902, 1, 0, 
1.2944, 0, 0, 1.2944, 0.120241, 1, 0, 
1.30438, 0, 0, 1.30438, 0.123903, 1, 0, 
1.31435, 0, 0, 1.31435, 0.125124, 1, 0, 
1.32432, 0, 0, 1.32432, 0.122683, 1, 0, 
1.33429, 0, 0, 1.33429, 0.123903, 1, 0, 
1.34426, 0, 0, 1.34426, 0.123903, 1, 0, 
1.35424, 0, 0, 1.35424, 0.120241, 1, 0, 
1.36421, 0, 0, 1.36421, 0.122683, 1, 0, 
1.37418, 0, 0, 1.37418, 0.123903, 1, 0, 
1.38415, 0, 0, 1.38415, 0.127565, 1, 0, 
1.39412, 0, 0, 1.39412, 0.126345, 1, 0, 
1.4041, 0, 0, 1.4041, 0.122683, 1, 0, 
1.41407, 0, 0, 1.41407, 0.125124, 1, 0, 
1.42404, 0, 0, 1.42404, 0.123903, 1, 0, 
1.43401, 0, 0, 1.43401, 0.123903, 1, 0, 
1.44399, 0, 0, 1.44399, 0.128786, 1, 0, 
1.45396, 0, 0, 1.45396, 0.123903, 1, 0, 
1.46393, 0, 0, 1.46393, 0.128786, 1, 0, 
1.4739, 0, 0, 1.4739, 0.125124, 1, 0, 
1.48388, 0, 0, 1.48388, 0.133669, 1, 0, 
1.49385, 0, 0, 1.49385, 0.130007, 1, 0, 
1.50382, 0, 0, 1.50382, 0.127565, 1, 0, 
1.51379, 0, 0, 1.51379, 0.130007, 1, 0, 
1.52376, 0, 0, 1.52376, 0.130007, 1, 0, 
1.53374, 0, 0, 1.53374, 0.128786, 1, 0, 
1.54371, 0, 0, 1.54371, 0.126345, 1, 0, 
1.55368, 0, 0, 1.55368, 0.130007, 1, 0, 
1.56365, 0, 0, 1.56365, 0.128786, 1, 0, 
1.57363, 0, 0, 1.57363, 0.128786, 1, 0, 
1.5836, 0, 0, 1.5836, 0.128786, 1, 0, 
1.59357, 0, 0, 1.59357, 0.130007, 1, 0, 
1.60354, 0, 0, 1.60354, 0.131228, 1, 0, 
1.61352, 0, 0, 1.61352, 0.133669, 1, 0, 
1.62349, 0, 0, 1.62349, 0.132448, 1, 0, 
